address,alias,type,malicious,continue
0x2461214FC9777705b962248104a58f52BF41B3db,Source,account,False,True
0x7d15d57b11677a9237b25a64f3bd1402e494393d,A,account,False,True
0xf8292b5d339d2450a7654b911253babd275cfa39,B,account,False,True
0x4e2b80d6c06990a260987fefce0e3a6057f8add8,C,account,False,True
0x601777012ff5413932b075eb73e47ef5f3233ef3,D,account,False,True
0x7395248b3cb26993f60b1ac4a3fc3469ff27a29c,E,account,False,True
0xe3505dc76bf0ec2fe00d079be3a5f0e5e68d39fb,F,account,False,True
0xb811e75de19d5663ee342665af4003941d3cff29,G,account,False,True
0x28cc039fd392e8c736824c62506de8d074c09835,H,account,False,True
0x1d2714871B4105FB548D962d29b2C6361437e8B1,bontin.eth,account,False,True
0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7, Akropolis (AKRO),Token,False,False
0x1c74cff0376fb4031cd7492cd6db2d66c3f2c6b9, bZx Protocol Token (BZRX),Token,False,False
0x06af07097c9eeb7fd685c692751d5c66db49c215, Chai (CHAI),Token,False,False
0xc00e94cb662c3520282e6f5717214004a7f26888, Compound (COMP),Token,False,False
0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407, Compound 0x (cZRX),Token,False,False
0x158079ee67fce2f58472a96584a73c7ab9ac95c1, Compound Augur (cREP),Token,False,False
0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, Compound Basic Attention Token (cBAT),Token,False,False
0x5d3a536e4d6dbd6114cc1ead35777bab948e3643, Compound Dai (cDAI),Token,False,False
0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5, Compound Ether (cETH),Token,False,False
0xf5dce57282a584d2746faf1593d3121fcac444dc, Compound Sai (cSAI),Token,False,False
0x39aa39c021dfbae8fac545936693ac917d5e7563, Compound USD Coin (cUSDC),Token,False,False
0xf650c3d88d12db855b8bf7d11be6c55a4e07dcc9, Compound USDT (cUSDT),Token,False,False
0xc11b1268c1a384e55c48c2391d8d480264a3a7f4, Compound Wrapped BTC (cWBTC),Token,False,False
0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI),Token,False,False
0x9b869c2eaae08136c43d824ea75a2f376f1aa983, DAI-HRD (DAI-HRD),Token,False,False
0x431ad2ff6a9c365805ebad47ee021148d6f7dbe0, dForce (DF),Token,False,False
0x59459a7fdf11a341bb14413cca51850f072901cc," Etheous, Inc. (EHS)",Token,False,False
0x80fb784b7ed66730e8b1dbd9820afd29931aab03, EthLend (LEND),Token,False,False
0x493c57c4763932315a328269e1adad09653b9081, Fulcrum DAI iToken (iDAI),Token,False,False
0x77f973fcaf871459aa58cd81881ce453759281bc, Fulcrum ETH iToken (iETH),Token,False,False
0x1cc9567ea2eb740824a45f8026ccf8e46973234d, Fulcrum KNC iToken (iKNC),Token,False,False
